Series ID,Year,Period,Label,Value
CES3000000001,2000,M05,2000 May,17279
CES3000000001,2000,M06,2000 Jun,17296
CES3000000001,2000,M07,2000 Jul,17322
CES3000000001,2000,M08,2000 Aug,17287
CES3000000001,2000,M09,2000 Sep,17230
CES3000000001,2000,M10,2000 Oct,17217
CES3000000001,2000,M11,2000 Nov,17202
CES3000000001,2000,M12,2000 Dec,17181
CES3000000001,2001,M01,2001 Jan,17104
CES3000000001,2001,M02,2001 Feb,17028
CES3000000001,2001,M03,2001 Mar,16938
CES3000000001,2001,M04,2001 Apr,16802
CES3000000001,2001,M05,2001 May,16661
CES3000000001,2001,M06,2001 Jun,16515
CES3000000001,2001,M07,2001 Jul,16382
CES3000000001,2001,M08,2001 Aug,16232
CES3000000001,2001,M09,2001 Sep,16117
CES3000000001,2001,M10,2001 Oct,15972
CES3000000001,2001,M11,2001 Nov,15825
CES3000000001,2001,M12,2001 Dec,15711
CES3000000001,2002,M01,2002 Jan,15587
CES3000000001,2002,M02,2002 Feb,15515
CES3000000001,2002,M03,2002 Mar,15443
CES3000000001,2002,M04,2002 Apr,15392
CES3000000001,2002,M05,2002 May,15337
CES3000000001,2002,M06,2002 Jun,15298
CES3000000001,2002,M07,2002 Jul,15256
CES3000000001,2002,M08,2002 Aug,15171
CES3000000001,2002,M09,2002 Sep,15119
CES3000000001,2002,M10,2002 Oct,15060
CES3000000001,2002,M11,2002 Nov,14992
CES3000000001,2002,M12,2002 Dec,14912
CES3000000001,2003,M01,2003 Jan,14866
CES3000000001,2003,M02,2003 Feb,14781
CES3000000001,2003,M03,2003 Mar,14721
CES3000000001,2003,M04,2003 Apr,14609
CES3000000001,2003,M05,2003 May,14557
CES3000000001,2003,M06,2003 Jun,14493
CES3000000001,2003,M07,2003 Jul,14402
CES3000000001,2003,M08,2003 Aug,14376
CES3000000001,2003,M09,2003 Sep,14347
CES3000000001,2003,M10,2003 Oct,14334
CES3000000001,2003,M11,2003 Nov,14316
CES3000000001,2003,M12,2003 Dec,14300
CES3000000001,2004,M01,2004 Jan,14290
CES3000000001,2004,M02,2004 Feb,14279
CES3000000001,2004,M03,2004 Mar,14287
CES3000000001,2004,M04,2004 Apr,14315
CES3000000001,2004,M05,2004 May,14342
CES3000000001,2004,M06,2004 Jun,14332
CES3000000001,2004,M07,2004 Jul,14330
CES3000000001,2004,M08,2004 Aug,14345
CES3000000001,2004,M09,2004 Sep,14331
CES3000000001,2004,M10,2004 Oct,14332
CES3000000001,2004,M11,2004 Nov,14307
CES3000000001,2004,M12,2004 Dec,14287
CES3000000001,2005,M01,2005 Jan,14257
CES3000000001,2005,M02,2005 Feb,14273
CES3000000001,2005,M03,2005 Mar,14269
CES3000000001,2005,M04,2005 Apr,14250
CES3000000001,2005,M05,2005 May,14256
CES3000000001,2005,M06,2005 Jun,14227
CES3000000001,2005,M07,2005 Jul,14226
CES3000000001,2005,M08,2005 Aug,14203
CES3000000001,2005,M09,2005 Sep,14175
CES3000000001,2005,M10,2005 Oct,14192
CES3000000001,2005,M11,2005 Nov,14187
CES3000000001,2005,M12,2005 Dec,14193
CES3000000001,2006,M01,2006 Jan,14210
CES3000000001,2006,M02,2006 Feb,14209
CES3000000001,2006,M03,2006 Mar,14214
CES3000000001,2006,M04,2006 Apr,14226
CES3000000001,2006,M05,2006 May,14203
CES3000000001,2006,M06,2006 Jun,14213
CES3000000001,2006,M07,2006 Jul,14188
CES3000000001,2006,M08,2006 Aug,14159
CES3000000001,2006,M09,2006 Sep,14125
CES3000000001,2006,M10,2006 Oct,14075
CES3000000001,2006,M11,2006 Nov,14041
CES3000000001,2006,M12,2006 Dec,14015
CES3000000001,2007,M01,2007 Jan,14008
CES3000000001,2007,M02,2007 Feb,13997
CES3000000001,2007,M03,2007 Mar,13970
CES3000000001,2007,M04,2007 Apr,13945
CES3000000001,2007,M05,2007 May,13929
CES3000000001,2007,M06,2007 Jun,13911
CES3000000001,2007,M07,2007 Jul,13889
CES3000000001,2007,M08,2007 Aug,13828
CES3000000001,2007,M09,2007 Sep,13790
CES3000000001,2007,M10,2007 Oct,13764
CES3000000001,2007,M11,2007 Nov,13757
CES3000000001,2007,M12,2007 Dec,13746
CES3000000001,2008,M01,2008 Jan,13725
CES3000000001,2008,M02,2008 Feb,13696
CES3000000001,2008,M03,2008 Mar,13659
CES3000000001,2008,M04,2008 Apr,13599
CES3000000001,2008,M05,2008 May,13564
CES3000000001,2008,M06,2008 Jun,13504
CES3000000001,2008,M07,2008 Jul,13430
CES3000000001,2008,M08,2008 Aug,13358
CES3000000001,2008,M09,2008 Sep,13275
CES3000000001,2008,M10,2008 Oct,13147
CES3000000001,2008,M11,2008 Nov,13034
CES3000000001,2008,M12,2008 Dec,12850
CES3000000001,2009,M01,2009 Jan,12561
CES3000000001,2009,M02,2009 Feb,12380
CES3000000001,2009,M03,2009 Mar,12208
CES3000000001,2009,M04,2009 Apr,12030
CES3000000001,2009,M05,2009 May,11862
CES3000000001,2009,M06,2009 Jun,11726
CES3000000001,2009,M07,2009 Jul,11668
CES3000000001,2009,M08,2009 Aug,11626
CES3000000001,2009,M09,2009 Sep,11591
CES3000000001,2009,M10,2009 Oct,11538
CES3000000001,2009,M11,2009 Nov,11509
CES3000000001,2009,M12,2009 Dec,11475
CES3000000001,2010,M01,2010 Jan,11460
CES3000000001,2010,M02,2010 Feb,11453
CES3000000001,2010,M03,2010 Mar,11453
CES3000000001,2010,M04,2010 Apr,11489
CES3000000001,2010,M05,2010 May,11525
CES3000000001,2010,M06,2010 Jun,11545
CES3000000001,2010,M07,2010 Jul,11561
CES3000000001,2010,M08,2010 Aug,11553
CES3000000001,2010,M09,2010 Sep,11563
CES3000000001,2010,M10,2010 Oct,11562
CES3000000001,2010,M11,2010 Nov,11585
CES3000000001,2010,M12,2010 Dec,11595
CES3000000001,2011,M01,2011 Jan,11621
CES3000000001,2011,M02,2011 Feb,11654
CES3000000001,2011,M03,2011 Mar,11675
CES3000000001,2011,M04,2011 Apr,11704
CES3000000001,2011,M05,2011 May,11713
CES3000000001,2011,M06,2011 Jun,11727
CES3000000001,2011,M07,2011 Jul,11746
CES3000000001,2011,M08,2011 Aug,11764
CES3000000001,2011,M09,2011 Sep,11769
CES3000000001,2011,M10,2011 Oct,11780
CES3000000001,2011,M11,2011 Nov,11770
CES3000000001,2011,M12,2011 Dec,11802
CES3000000001,2012,M01,2012 Jan,11838
CES3000000001,2012,M02,2012 Feb,11860
CES3000000001,2012,M03,2012 Mar,11898
CES3000000001,2012,M04,2012 Apr,11916
CES3000000001,2012,M05,2012 May,11927
CES3000000001,2012,M06,2012 Jun,11936
CES3000000001,2012,M07,2012 Jul,11964
CES3000000001,2012,M08,2012 Aug,11960
CES3000000001,2012,M09,2012 Sep,11954
CES3000000001,2012,M10,2012 Oct,11961
CES3000000001,2012,M11,2012 Nov,11950
CES3000000001,2012,M12,2012 Dec,11960
CES3000000001,2013,M01,2013 Jan,11983
CES3000000001,2013,M02,2013 Feb,11996
CES3000000001,2013,M03,2013 Mar,11999
CES3000000001,2013,M04,2013 Apr,12000
CES3000000001,2013,M05,2013 May,12000
CES3000000001,2013,M06,2013 Jun,12004
CES3000000001,2013,M07,2013 Jul,11984
CES3000000001,2013,M08,2013 Aug,12014
CES3000000001,2013,M09,2013 Sep,12032
CES3000000001,2013,M10,2013 Oct,12056
CES3000000001,2013,M11,2013 Nov,12079
CES3000000001,2013,M12,2013 Dec,12083
CES3000000001,2014,M01,2014 Jan,12081
CES3000000001,2014,M02,2014 Feb,12106
CES3000000001,2014,M03,2014 Mar,12120
CES3000000001,2014,M04,2014 Apr,12134
CES3000000001,2014,M05,2014 May,12146
CES3000000001,2014,M06,2014 Jun,12170
CES3000000001,2014,M07,2014 Jul,12189
CES3000000001,2014,M08,2014 Aug,12208
CES3000000001,2014,M09,2014 Sep,12226
CES3000000001,2014,M10,2014 Oct,12259
CES3000000001,2014,M11,2014 Nov,12284
CES3000000001,2014,M12,2014 Dec,12292
CES3000000001,2015,M01,2015 Jan,12295
CES3000000001,2015,M02,2015 Feb,12303
CES3000000001,2015,M03,2015 Mar,12311
CES3000000001,2015,M04,2015 Apr,12317
CES3000000001,2015,M05,2015 May,12334
CES3000000001,2015,M06,2015 Jun,12338
CES3000000001,2015,M07,2015 Jul,12357
CES3000000001,2015,M08,2015 Aug,12343
CES3000000001,2015,M09,2015 Sep,12350
CES3000000001,2015,M10,2015 Oct,12361
CES3000000001,2015,M11,2015 Nov,12357
CES3000000001,2015,M12,2015 Dec,12362
CES3000000001,2016,M01,2016 Jan,12384
CES3000000001,2016,M02,2016 Feb,12369
CES3000000001,2016,M03,2016 Mar,12344
CES3000000001,2016,M04,2016 Apr,12351
CES3000000001,2016,M05,2016 May,12333
CES3000000001,2016,M06,2016 Jun,12353
CES3000000001,2016,M07,2016 Jul,12370
CES3000000001,2016,M08,2016 Aug,12347
CES3000000001,2016,M09,2016 Sep,12344
CES3000000001,2016,M10,2016 Oct,12341
CES3000000001,2016,M11,2016 Nov,12341
CES3000000001,2016,M12,2016 Dec,12355
CES3000000001,2017,M01,2017 Jan,12368
CES3000000001,2017,M02,2017 Feb,12386
CES3000000001,2017,M03,2017 Mar,12395
CES3000000001,2017,M04,2017 Apr,12403
CES3000000001,2017,M05,2017 May,12405
CES3000000001,2017,M06,2017 Jun,12420
CES3000000001,2017,M07,2017 Jul,12417
CES3000000001,2017,M08,2017 Aug,12459
CES3000000001,2017,M09,2017 Sep,12467
CES3000000001,2017,M10,2017 Oct,12487
CES3000000001,2017,M11,2017 Nov,12517
CES3000000001,2017,M12,2017 Dec,12545
CES3000000001,2018,M01,2018 Jan,12561
CES3000000001,2018,M02,2018 Feb,12592
CES3000000001,2018,M03,2018 Mar,12612
CES3000000001,2018,M04,2018 Apr,12634
CES3000000001,2018,M05,2018 May,12655
CES3000000001,2018,M06,2018 Jun,12687
CES3000000001,2018,M07,2018 Jul,12707
CES3000000001,2018,M08,2018 Aug,12715
CES3000000001,2018,M09,2018 Sep,12733
CES3000000001,2018,M10,2018 Oct,12762
CES3000000001,2018,M11,2018 Nov,12789
CES3000000001,2018,M12,2018 Dec,12809
CES3000000001,2019,M01,2019 Jan,12826
CES3000000001,2019,M02,2019 Feb,12834
CES3000000001,2019,M03,2019 Mar,12831
CES3000000001,2019,M04,2019 Apr,12834
CES3000000001,2019,M05,2019 May,12836
CES3000000001,2019,M06,2019 Jun,12846
CES3000000001,2019,M07,2019 Jul,12850
CES3000000001,2019,M08,2019 Aug,12852
CES3000000001,2019,M09,2019 Sep,12850
